File name,Path,Last modified,Created date,Last accessed,Size,Level,Inside files,Inside dirs,Created by
CODE,D:\CODE,2022-12-06 00:21:11.662880,2022-05-26 06:05:14.352661,1970-01-01 05:08:16,4096,2,120252,11488,rusab
.vs,D:\CODE\.vs,2022-08-18 01:01:14.969307,2022-08-18 00:52:55.200579,1970-01-01 04:00:00,0,3,7,4,rusab
CODE,D:\CODE\.vs\CODE,2022-08-18 00:53:23.434099,2022-08-18 00:53:00.095800,1970-01-01 04:00:00,0,4,4,3,rusab
FileContentIndex,D:\CODE\.vs\CODE\FileContentIndex,2022-08-18 01:00:00.219175,2022-08-18 00:53:00.095800,1970-01-01 04:00:00,0,5,3,1,rusab
merges,D:\CODE\.vs\CODE\FileContentIndex\merges,2022-08-18 01:00:00.211199,2022-08-18 00:53:00.169386,1970-01-01 04:00:00,0,6,0,0,rusab
v17,D:\CODE\.vs\CODE\v17,2022-08-18 00:54:45.014759,2022-08-18 00:53:23.434099,1970-01-01 04:00:00,0,5,1,0,rusab
Algoritmika,D:\CODE\Algoritmika,2022-10-12 00:43:00.052714,2022-10-05 21:43:57.136375,1970-01-01 04:00:00,0,3,2,0,rusab
AWS,D:\CODE\AWS,2022-08-27 23:12:34.600408,2022-08-27 23:11:00.906348,1970-01-01 04:00:00,0,3,2,0,rusab
ec2,D:\CODE\ec2,2022-08-28 23:47:26.587723,2022-08-28 23:47:16.496684,1970-01-01 05:08:16,4096,3,5,2,rusab
covid19-statistika-az-main,D:\CODE\ec2\covid19-statistika-az-main,2022-12-06 00:40:05.354848,2022-08-26 18:23:35.882836,1970-01-01 04:00:00,0,4,0,1,rusab
new,D:\CODE\ec2\covid19-statistika-az-main\new,2022-12-06 00:40:03.573368,2022-12-06 00:40:03.573368,1970-01-01 04:00:00,0,5,0,0,rusab
Github,D:\CODE\Github,2022-12-10 01:11:52.086271,2022-05-26 06:05:26.300511,1970-01-01 05:08:16,4096,3,168,112,rusab
covid19-statistika-az,D:\CODE\Github\covid19-statistika-az,2022-12-06 20:35:27.036386,2022-12-06 20:34:55.470490,1970-01-01 04:00:00,0,4,37,19,rusab
.git,D:\CODE\Github\covid19-statistika-az\.git,2022-12-06 23:44:57.671722,2022-12-06 20:34:55.470490,1970-01-01 05:08:16,4096,5,34,18,rusab
hooks,D:\CODE\Github\covid19-statistika-az\.git\hooks,2022-12-06 20:34:55.796288,2022-12-06 20:34:55.486121,1970-01-01 05:08:16,4096,6,13,0,rusab
info,D:\CODE\Github\covid19-statistika-az\.git\info,2022-12-06 20:34:55.811944,2022-12-06 20:34:55.796288,1970-01-01 04:00:00,0,6,1,0,rusab
logs,D:\CODE\Github\covid19-statistika-az\.git\logs,2022-12-06 20:34:58.816242,2022-12-06 20:34:58.816242,1970-01-01 04:00:00,0,6,4,4,rusab
refs,D:\CODE\Github\covid19-statistika-az\.git\logs\refs,2022-12-06 20:34:58.824242,2022-12-06 20:34:58.816242,1970-01-01 04:00:00,0,7,3,3,rusab
